Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110CL 101042,大學中文,College Chinese 	,"劉璟翰 LIU, CHING-HAN",27,4.04,0.16
11110CL 101050,大學中文,College Chinese 	,"蔡幸娟 TSAI, HSING-CHUAN",26,3.16,1.37
11110CL 101051,大學中文,College Chinese 	,"王達甫 WANG, DA-FU",20,69.35,25.63
11110CL 101061,大學中文,College Chinese 	,"方俠文 FANG, SHIA-WEN",25,72.92,12.41
11110CL 101062,大學中文,College Chinese 	,"蔡幸娟 TSAI, HSING-CHUAN",25,2.55,1.39
11110CL 101063,大學中文,College Chinese 	,"許漢祥 HSU, HAN-HSIANG",24,3.53,0.98
11110CL 101064,大學中文,College Chinese 	,"謝憶凡 HSIEH, I-FAN",19,82.42,15.38
11110CL 101065,大學中文,College Chinese 	,"李東龍 LI,TUNG-LUNG",24,3.80,0.36
11110CL 110300,小說選,Introduction to Traditional Chinese Fiction 	,"張閏熙 CHANG, JUN-HSI",45,85.13,6.70
11110CL 110601,中國語文通論,Survey of Chinese Language & Linguistics 	,"游文福 YEW BOON HOCK",68,77.00,10.36
11110CL 111300,唐宋明清文,Essays of Tang, Song, Ming and Qing 	,"李貞慧 LEE, CHEN-HUI",67,75.15,16.47
11110CL 121000,文學概論,Introduction to Literature 	,"楊佳嫻 YANG, CHIA-HSIEN",59,81.07,5.65
11110CL 151000,香港文學概論,Introduction to Hong Kong Literature 	,"陳國球 CHAN KWOK KOU LEONARD",13,3.72,0.82
11110CL 210500,經學名著選讀,Selected Readings in the Five Classics 	,"簡良如 CHIEN, LIANG-JU",31,3.90,0.62
11110CL 210700,文字學,Chinese Grammatology 	,"邴尚白 BIING, SHANG-BAIR",51,3.90,0.69
11110CL 211200,近現代文學史,History of Chinese Modern Literature 	,"顏健富 GUAN, KEAN-FUNG",62,3.63,0.87
11110CL 220000,現代小說,Modern Chinese Fiction 	,"顏健富 GUAN, KEAN-FUNG",33,3.66,1.08
11110CL 230000,中日文化交流史,History of cultural exchanges between China and Japan 	,"鍋島亞朱華 NABESHIMA,ASUKA",6,3.22,1.50
11110CL 231800,西遊記,The Journey to the West 	,"張閏熙 CHANG, JUN-HSI",12,80.17,24.50
11110CL 232500,左傳,Tso Chuan 	,"蔡英俊 TSAI, YING-CHUN",16,4.01,0.37
11110CL 232600,三國演義,The Story of the Three Kingdoms 	,"陳建男 CHEN, CHIEN-NAN",35,3.94,1.00
11110CL 252000,進階寫作：散文創作,Advanced Writing: Prose 	,"顏訥 NA YEN",14,4.06,0.85
11110CL 252100,進階寫作：小說創作,Advanced Writing: Novel 	,"朱宥勳 CHU , YU-HSUN",24,3.50,0.48
11110CL 270000,華語教學通論,Survey of Teaching Chinese as a Second Language 	,"陳淑芬 SHU-FEN CHEN",19,3.86,0.27
11110CL 280600,古今詩詞吟唱,Ancient and Modern Chinese Poetry Chanting 	,"蔡維天 TSAI, WEI-TIEN",20,88.60,3.23
11110CL 310100,中國文學史一,History of Chinese Literature (I) 	,"許銘全 HSU, MING-CHUAN",47,3.54,0.68
11110CL 321000,宋明理學,Neo-Confucian Philosophy 	,"祝平次 CHU, PING-TZU",4,3.18,1.28
11110CL 330200,學庸,The Great Learning and The Doctrine of the Mean 	,"黃忠天 HUANG, CHUNG-TIEN",18,80.89,9.63
11110CL 332600,漢書,History of the Former Han Dynasty 	,"林聰舜 LIN, TSUNG-SHUN",22,3.54,0.80
11110CL 350400,傳習錄,Chuanxilu 	,"鍋島亞朱華 NABESHIMA,ASUKA",7,3.39,1.40
11110CL 370200,漢學英文,English for Chinese Studies 	,"羅仕龍 LO, SHIH-LUNG",38,3.84,0.45
11110CL 372300,近現代通俗文學選讀,Selected Readings of Modern Popular Literature 	,"蔣興立 CHIANG, HSIN-LI",30,4.09,0.77
11110CL 382900,華語教學實務,Chinese Language Teaching Practicum 	,"吳貞慧 WU, CHEN-HUEI",8,86.38,1.11
11110CL 410100,中國思想史一,History of Chinese Thought (I) 	,"祝平次 CHU, PING-TZU",55,3.54,0.45
11110CL 420200,詩經,Shi Jing 	,"簡良如 CHIEN, LIANG-JU",16,3.41,0.91
11110CL 440700,詠物文學與花蟲鳥獸圖,Literature of Chanting Thing and Picture of Flowers and Birds 	,"楊晉綺 YANG, CHIN-CHI",13,3.52,0.99
11110CL 462000,華語文測驗與評量,Chinese Language Testing and Assessment 	,"王蒞文 MARTHA LIWEN WANG GALLAGHER",9,88.56,4.69
11110CL 462100,第二語言習得,Second Language Acquisition 	,"吳貞慧 WU, CHEN-HUEI",6,85.83,4.49
11110CL 462200,漢語詞彙分析,Chinese Lexical Analysis 	,"游文福 YEW BOON HOCK",11,92.27,1.54
11110CL 480500,文學與電影,Fiction and Film: selected works 	,"陳平浩 CHEN , PING-HAO",17,91.06,6.27
11110CL 502300,出土文獻專題,Topics on Unearthed Literature 	,"邴尚白 BIING, SHANG-BAIR",5,4.30,0.00
11110CL 503700,議論文寫作實務專題,Seminar on Practical Writing of Argumentative Essays 	,"劉承慧 LIU, CHENG-HUI",12,77.33,13.55
11110CL 506000,漢學英文一,English for Chinese Studies I 	,"侯道儒 SKONICKI DOUGLAS EDWARD",17,84.82,5.96
11110CL 524100,唐代文學專題,Topics on Tang Literature 	,"許銘全 HSU, MING-CHUAN",15,4.10,0.21
11110CL 524900,陸機詩研究,Study of Lu Chi's Poetry 	,"朱曉海 CHU, HSIAO-HAI",7,58.57,24.74
11110CL 525000,現代文論中的抒情傳統,Conceptions of Chinese Lyrical Tradition 	,"陳國球 CHAN KWOK KOU LEONARD",15,3.81,0.40
11110CL 532900,宋代研究文獻專題,Topics in Song Dynasty Research 	,"侯道儒 SKONICKI DOUGLAS EDWARD",8,91.50,1.32
11110CL 534000,經學史專題,Seminar in the History of Chinese Classics 	,"林保全 LIN, BAO-QUAN",4,90.50,1.50
11110CL 535500,儒學與漢帝國意識形態,Confucianism of Han Dynasty: The Establishment of Imperial Ideology 	,"林聰舜 LIN, TSUNG-SHUN",18,4.09,0.37
11110CL 561000,型態與變奏：中國現代詩學(1911-1949),Lost and Found of Modern Chinese Poetics.1911-1949 	,"陳國球 CHAN KWOK KOU LEONARD, 政大廖棟樑 ",政大廖棟樑,6,3.88
0.57 11110CL,572900,	現當代華文女性文學研究,"Topics in Modern and Contemporary Chinese women writers 	 ",楊佳嫻,YANG,,CHIA-HSIEN
21 86.48,3.82,11110CL 573300 	晚清民國翻譯與文學專題,"Topics on Translation and Literature in the Late Qing and Early Republican Period 	 ",羅仕龍,LO,,SHIH-LUNG
11 4.11,0.19,		,"11110CL 591500 	漢語語言學 Chinese Linguistics 	, 陳淑芬 SHU-FEN CHEN",13,3.59,0.61
11110CLC 100101,初級華語一,Mandarin Basic I 	,"吳佳育 WU, CHIA-YU",19,81.53,16.60
11110CLC 100102,初級華語一,Mandarin Basic I 	,"李菊鳳 LEE, CHU-FENG",20,85.05,8.74
11110CLC 100103,初級華語一,Mandarin Basic I 	,"許巧蒨 HSU, CHIAO-CHIEN",25,84.20,8.12
11110CLC 100104,初級華語一,Mandarin Basic I 	,"郭玫君 KUO, MEI-CHUN",22,92.14,4.53
11110CLC 100105,初級華語一,Mandarin Basic I 	,"郭玫君 KUO, MEI-CHUN",23,85.00,12.36
11110CLC 100201,初級華語二,Mandarin Basic Ⅱ 	,"林宛蓉 LIN, WAN-JUNG",24,3.87,0.69
11110CLC 100202,初級華語二,Mandarin Basic Ⅱ 	,"戴淑珍 TAI, SHU-CHEN",34,89.94,5.57
11110CLC 100203,初級華語二,Mandarin Basic Ⅱ 	,"陳芷安 CHEN,CHIH-AN",23,88.52,6.60
11110CLC 100301,初級華語三,Mandarin Basic Ⅲ 	,"陳芷安 CHEN,CHIH-AN",17,85.41,13.55
11110CLC 100302,初級華語三,Mandarin Basic Ⅲ 	,"吳佳育 WU, CHIA-YU",16,83.69,14.64
11110CLC 100303,初級華語三,Mandarin Basic Ⅲ 	,"劉殿敏 DIEN-MIN, LIU",16,74.25,29.04
11110CLC 100800,初級台語一,Taiwanese Basic I 	,"陳慶華 CHEN, CHING-HUA",16,3.81,0.54
11110CLC 101101,初級華語生活會話一,Mandarin Basic Conversation I 	,"吳佳育 WU, CHIA-YU",18,86.33,5.06
11110CLC 101102,初級華語生活會話一,Mandarin Basic Conversation I 	,"李菊鳳 LEE, CHU-FENG",16,86.81,4.59
11110CLC 101103,初級華語生活會話一,Mandarin Basic Conversation I 	,"戴淑珍 TAI, SHU-CHEN",22,92.73,7.45
11110CLC 101201,初級華語生活會話二,Mandarin Basic Conversation Ⅱ 	,"吳佳育 WU, CHIA-YU",16,85.50,8.18
11110CLC 101202,初級華語生活會話二,Mandarin Basic Conversation Ⅱ 	,"戴淑珍 TAI, SHU-CHEN",21,92.33,7.70
11110CLC 101300,初級華語生活會話三,Mandarin Basic Conversation Ⅲ 	,"吳佳育 WU, CHIA-YU",25,79.88,13.70
11110CLC 101400,唱歌學華語,Learning Chinese Through Songs 	,"黃歐喜強 OU, XI-QIANG",22,88.55,11.65
11110CLC 200101,中級華語一,Mandarin Intermediate I 	,"陳慶華 CHEN, CHING-HUA",19,3.95,0.46
11110CLC 200102,中級華語一,Mandarin Intermediate I 	,"陳芷安 CHEN,CHIH-AN",14,83.36,10.36
11110CLC 200201,中級華語二,Mandarin Intermediate II 	,"林宛蓉 LIN, WAN-JUNG",17,4.08,0.34
11110CLC 200202,中級華語二,Mandarin Intermediate II 	,"許巧蒨 HSU, CHIAO-CHIEN",14,82.57,7.40
11110CLC 200301,中級華語三,Mandarin Intermediate III 	,"陳慶華 CHEN, CHING-HUA",16,3.99,0.36
11110CLC 200302,中級華語三,Mandarin Intermediate III 	,"張晏綾 CHANG, YEN-LING",11,3.27,1.13
11110CLC 300100,中高級華語一,Mandarin High-Intermediate I 	,"張晏綾 CHANG, YEN-LING",11,2.95,1.45
11110CLC 300102,中高級華語一,Mandarin High-Intermediate I 	,"李羿妏 YI-WEN LEE",21,77.52,12.78
11110CLC 300200,中高級華語二,Mandarin High Intermediate II 	,"李菊鳳 LEE, CHU-FENG",18,80.28,9.53
11110CLC 300300,中高級華語三,Mandarin High-Intermediate III 	,"陳翊綺 CHEN, I-CHI",15,80.80,11.73
11110CLC 301200,新聞華語二,News Mandarin II 	,"林宛蓉 LIN, WAN-JUNG",16,3.85,0.90
11110CLC 400100,高級華語一,Mandarin Advanced I 	,"林宛蓉 LIN, WAN-JUNG",10,3.94,0.62
11110CLC 400200,高級華語二,Mandarin Advanced II 	,"李菊鳳 LEE, CHU-FENG",10,83.30,9.97
11110CLC 401100,商用華語一,Business Chinese I 	,"李羿妏 YI-WEN LEE",19,82.58,8.51
11110COM 501000,書報討論,Seminar 	,"蔡育仁 TSAI, YUH-REN, 吳仁銘 WU, JEN-MING, 李祈均 LEE, CHI-CHUN",62,85.32,5.43
11110COM 512000,通訊理論,Communication Theory 	,"鍾偉和 CHUNG, WEI-HO",35,3.91,0.41
11110COM 517000,無線通訊系統,Wireless Communication Systems 	,"蔡育仁 TSAI, YUH-REN",67,81.31,12.35
11110COM 522000,適應訊號處理,Adaptive Signal Processing 	,"王晉良 WANG, CHIN-LIANG",37,3.67,0.77
11110COM 524000,數位訊號處理積體電路設計,Digital Signal Processing Integrated Circuits Design 	,"黃元豪 HUANG, YUAN-HAO",49,85.63,9.36
11110COM 524200,晶片應用系統簡介,Introduction to System-on-Chip and its Applications 	,"邱瀞德 CHIU, CHING-TE",24,87.00,3.76
11110COM 524500,通訊及信號處理之凸優化方法,Convex Optimization for Communications and Signal Processing 	,"祁忠勇 CHI, CHONG-YUNG",11,80.55,7.55
11110COM 525200,金融科技,Financial Technology 	,"翁詠祿 UENG, YEONG-LUH",116,82.69,9.09
11110COM 526000,深度學習,Deep Learning 	,"林嘉文 LIN, CHIA-WEN",90,83.38,10.54
11110COM 530500,網路科學,Network Science 	,"張正尚 CHANG, CHENG-SHANG",21,84.52,7.27
11110COM 530600,社群網路,Social Networks 	,"李端興 LEE, DUAN-SHIN",26,81.35,15.93
11110COM 534200,行動電信網路,Mobile Telecommunications Networks 	,"楊舜仁 YANG, SHUN-REN",23,86.61,5.90
11110CS 135501,計算機程式設計一,Introduction to Programming (I) 	,"胡敏君 MIN-CHUN HU",97,66.85,24.17
11110CS 135502,計算機程式設計一,Introduction to Programming (I) 	,"楊舜仁 YANG, SHUN-REN",123,73.74,16.12
11110CS 135600,計算機程式設計二,Introduction to Programming (II) 	,"陳煥宗 CHEN, HWANN-TZONG",128,74.53,19.88
11110CS 135700,資訊系統及應用導論,Intro. to Computer Systems & Applications 	,"潘則佑 PAN, TSE-YU",117,82.18,7.45
11110CS 135800,Python語言程式入門,Introduction to Programming in Python 	,"周百祥 CHOU, PAI-HSIANG",109,79.83,15.49
11110CS 233401,線性代數,Linear Algebra 	,"張隆紋 CHANG, LONG-WEN",76,3.11,1.15
11110CS 233402,線性代數,Linear Algebra 	,"李哲榮 LEE, CHE-RUNG",113,78.29,13.34
11110CS 233601,離散數學,Discrete Mathematics 	,"韓永楷 HON WING KAI",218,73.65,12.15
11110CS 233602,離散數學,Discrete Mathematics 	,"蔡明哲 TSAI, MING-JER",99,77.72,16.45
11110CS 235101,資料結構,Data Structures 	,"沈之涯 SHEN, CHIH-YA",116,3.35,0.84
11110CS 235102,資料結構,Data Structures 	,"蔡仁松 TSAY, REN-SONG",76,3.09,1.32
11110CS 312000,積體電路設計概論,Introduction of Integrated Circuit Design 	,"何宗易 HO,TSUNG-YI",62,78.65,12.31
11110CS 330500,密碼與網路安全概論,Cryptography and Network Security 	,"孫宏民 SUN, HUNG-MIN",90,91.40,6.21
11110CS 342301,作業系統,Operating Systems 	,"周志遠 CHOU, JERRY",141,74.27,12.27
11110CS 342302,作業系統,Operating Systems 	,"周百祥 CHOU, PAI-HSIANG",104,78.68,16.11
11110CS 342700,計算機系統管理,Computer System Administration 	,"張君天 CHANG, CHUN-TIEN",35,89.11,15.88
11110CS 343300,競技程式設計一,Competitive Programming Training (I) 	,"黃兆源 HUANG, CHAO-YUAN",70,84.80,15.60
11110CS 390100,系統整合實作一,System Integration Implementation I 	,"指導教授 ",19,91.00,4.52
11110CS 390200,系統整合實作二,System Integration Implementation II 	,"指導教授 ",148,89.05,7.13
11110CS 410000,計算機結構,Computer Architecture 	,"黃婷婷 HWANG, TING-TING",103,76.42,10.60
11110CS 431101,計算方法設計,Design and Analysis of Algorithms 	,"王炳豐 WANG, BIING-FENG",80,69.04,19.44
11110CS 431102,計算方法設計,Design and Analysis of Algorithms 	,"許健平 SHEU, JANG-PING",100,73.81,16.71
11110CS 452000,影像處理簡介,Introduction to Image Processing 	,"許秋婷 HSU, CHIU-TING",28,77.61,13.46
11110CS 460100,人工智慧概論,Introduction to Artificial Intelligence 	,"蘇豐文 SOO, VON-WUN",95,86.78,9.69
11110CS 460200,機器學習概論,Introduction to Machine Learning 	,"郭柏志 KUO, PO-CHIH",185,3.84,0.58
11110CS 516000,FPGA結構及設計自動化,FPGA Architecture & CAD 	,"麥偉基 MAK WAI KEI",55,81.40,12.74
11110CS 517000,數位電視系統,Digital Television 	,"胡龍融 HU, LON-RONG",7,82.43,6.72
11110CS 522100,計算機網路,Computer Networks 	,"邱德泉 CHIU, TE-CHUAN",44,79.11,13.40
11110CS 529100,網路之隨機程序,Stochastic Processes for Networking 	,"李端興 LEE, DUAN-SHIN",10,69.10,25.19
11110CS 531300,計算生物學,Computing Biology 	,"盧錦隆 LU, CHIN LUNG",17,84.00,9.55
11110CS 531900,高等離散結構,Advanced Discrete Structure 	,"韓永楷 HON WING KAI",175,84.37,12.29
11110CS 532100,數值最佳化,Numerical Optimization 	,"李哲榮 LEE, CHE-RUNG",63,83.56,16.12
11110CS 539100,量子計算概論,Introduction to quantum computing 	,"林瀚仚 LIN, HAN-HSUAN",18,84.22,15.82
11110CS 540400,高等編譯器,Advanced Compiler 	,"李政崑 LEE, JENQ-KUEN",13,85.23,4.93
11110CS 542200,平行程式,Parallel Programming 	,"周志遠 CHOU, JERRY",63,80.05,11.95
11110CS 542300,高等作業系統,Advanced Operating Systems 	,"石維寬 SHIH, WEI-KUAN",7,4.26,0.11
11110CS 542500,即時系統設計,Real-Time System Designs 	,"石維寬 SHIH, WEI-KUAN",9,4.20,0.14
11110CS 546000,軟體專案管理,Software Project Management 	,"黃慶育 HUANG, CHING-YU",26,91.81,4.39
11110CS 546400,高科技創業與營運,High-Tech Entrepreneurship 	,"蔡仁松 TSAY, REN-SONG",14,3.81,0.25
11110CS 550300,遊戲程式設計,Introduction to Game Programming 	,"朱宏國 CHU, HUNG-KUO",78,91.56,6.26
11110CS 550700,繪圖程式設計與應用,Introduction to Graphics Programming and Applications 	,"朱宏國 CHU, HUNG-KUO",39,81.21,26.65
11110CS 551200,多媒體技術於運動科學之應用,Multimedia Technology for Sports 	,"朱宏國 CHU, HUNG-KUO, 胡敏君 MIN-CHUN HU, 潘則佑 PAN, TSE-YU, 詹詩涵 CHAN.SHIH-HAN",22,90.64,2.37
11110CS 555100,醫學資訊簡介,Introduction to Healthcare Informatics 	,"唐傳義 TANG, CHUAN-YI, 林沿妊 LIN, YEN-JEN, 林文綺 LIN, WEN-CHI",48,91.17,4.71
11110CS 560500,人工智慧倫理、法律與社會,AI Ethics, Law and Society 	,"賴尚宏 LAI, SHANG-HONG, 郭昱廷 YU-TING KUO, 林勤富 LIN, CHING-FU, 李怡俐 LEE, YI-LI",38,3.88,0.70
11110CS 565600,深度學習,Deep Learning 	,"吳尚鴻 WU, SHAN-HUNG",63,82.38,13.87
11110CS 573400,圖探勘,Graph Mining 	,"沈之涯 SHEN, CHIH-YA",22,3.98,0.36
11110CS 580100,研究方法一,Research Methodology I 	,"指導教授 ",198,4.26,0.19
11110CS 591000,書報討論,Seminar 	,"胡敏君 MIN-CHUN HU, 林瀚仚 LIN, HAN-HSUAN",205,4.12,0.45
11110CS 613500,VLSI實體設計自動化,VLSI Physical Design Automation 	,"王廷基 WANG, TING-CHI",51,76.04,21.35
11110CS 655000,計算機視覺理論,Computer Vision 	,"賴尚宏 LAI, SHANG-HONG",56,3.91,0.53
11110CS 724600,行動計算專題,Special Topics in Mobile Computing 	,"高榮駿 KAO, JUNG-CHUN",4,90.75,1.30
11110CS 742900,嵌入式系統設計專題,Special Topic on Embedded System Design 	,"石維寬 SHIH, WEI-KUAN",3,4.30,0.00
11110CS 761000,深度增強式學習專題,Special Topics on Deep Reinforcement Learning 	,"李濬屹 LEE, CHUN-YI",6,4.30,0.00
11110CS 772000,資料庫系統專題二,Special Topics in Data Base Management Systems(II) 	,"陳宜欣 CHEN, YI-SHIN",13,4.08,0.34
11110CSR 500100,書報討論,Seminar 	,"林本堅 LIN, BURN-JENG",86,89.23,5.15
11110CSR 500300,業界實習,Industry Internship 	,"指導教授 ",20,4.24,0.12
11110CSR 510100,半導體元件導讀,Introduction to Semiconductor Device 	,"白田理一郎 RIICHIRO SHIROTA",73,87.88,10.27
11110CSR 520100,半導體材料導讀,Introduction to Semiconductor Materials 	,"廖建能 LIAO, CHIEN-NENG",63,80.59,10.43
11110CSR 530100,半導體設計導讀,Introduction to Semiconductor Design 	,"劉靖家 LIOU, JING-JIA, 謝志成 HSIEH, CHIH CHENG, 黃稚存 HUANG, CHIH-TSUN, 黃朝宗 HUANG, CHAO-TSUNG",72,86.22,4.83
11110CSR 530200,設計自動化一,Design automation (Ⅰ) 	,"李炯霆 LI, JEONG-TYNG",24,4.09,0.24
11110CSR 540100,半導體製程導讀,Introduction to Semiconductor Process 	,"林本堅 LIN, BURN-JENG, 邱博文 CHIU, PO-WEN",80,80.83,7.62
11110CSR 540300,半導體微影、RET、Immersion、EUV,Semiconductor Lithography 	,"林本堅 LIN, BURN-JENG",33,83.03,7.58
11110DMS 110100,醫學科學導論,Introduction to Medical Science 	,"王群超 WANG, CHUN-CHAO, 邱于芯 CHIU, YU-HSIN",45,85.73,3.35
11110DMS 210500,醫學科學實驗,Medical Science Laboratory 	,"彭明德 PERNG, MING-DER, 王群超 WANG, CHUN-CHAO, 邱于芯 CHIU, YU-HSIN",23,80.39,5.05
11110DMS 274100,神經生物學,Neurobiology 	,"羅中泉 LO, CHUNG-CHUAN, 彭筱明 PENG HSIAO-MING, 張鈞惠 CHANG, CHUN-HUI",25,71.84,20.59
11110DMS 275100,內科學概論,Introduction of Internal Medicine 	,"鄭美雲 CHENG, MEI-YUN",57,3.61,0.75
11110DMS 275500,運動醫學,Sport Medicine 	,"張煥禎 CHANG, HUAN-CHENG, 李淑芳 LEE SHU FANG",97,87.51,3.68
11110DMS 301100,專題研究,Undergraduate Research 	,"指導教授 ",21,4.21,0.16
11110DMS 320100,細胞生物學,Cell Biology 	,"陳令儀 CHEN, LINYI, 湯學成 TANG, SHIUE-CHENG, 林玉俊 LIN, YU-CHUN",70,82.76,12.23
11110DMS 370001,人體解剖學虛擬實作,3D Organon Virtual Reality (VR) Human Anatomy 	,"李佳霖 LEE, JIA-LIN, 彭明德 PERNG, MING-DER, 莊永仁 CHUANG, YUNG-JEN, 張壯榮 CHANG, CHUANG-RUNG",29,87.62,8.68
11110DMS 370002,人體解剖學虛擬實作,3D Organon Virtual Reality (VR) Human Anatomy 	,"李佳霖 LEE, JIA-LIN, 彭明德 PERNG, MING-DER, 莊永仁 CHUANG, YUNG-JEN, 張壯榮 CHANG, CHUANG-RUNG",28,86.36,6.27
11110DMS 370300,人體生理與解剖學,Human Anatomy & Physiology 	,"李佳霖 LEE, JIA-LIN, 彭明德 PERNG, MING-DER, 莊永仁 CHUANG, YUNG-JEN, 張壯榮 CHANG, CHUANG-RUNG",65,75.55,15.69
11110DMS 370500,醫學遺傳學,Medical Genetics 	,"周裕珽 CHOU, YU-TING, 廖品超 LIAO, PIN-CHAO",61,81.13,11.63
11110DMS 370700,藥理學,Pharmacology 	,"林愷悌 LIN, KAI-TI",45,73.87,13.40
11110DMS 374000,台灣人體生物資料庫分析,An introduction of Taiwan Biobank 	,"陳令儀 CHEN, LINYI",21,81.05,13.14
11110DMS 390001,書報討論,Seminar 	,"王群超 WANG, CHUN-CHAO",8,82.63,11.77
11110DMS 390002,書報討論,Seminar 	,"邱于芯 CHIU, YU-HSIN",10,89.10,6.22
11110DMS 390003,書報討論,Seminar 	,"林愷悌 LIN, KAI-TI",9,79.89,10.13
11110DMS 390004,書報討論,Seminar 	,"林郁婷 LIN, YU-TING",8,88.00,6.96
11110DMS 390005,書報討論,Seminar 	,"周雅菁 YA-CHING CHOU",10,88.30,5.57
11110DMS 475100,醫療法律與研究倫理,Medical Law and Research Ethics 	,"王慧菁 WANG, HUI-CHING, 范建得 FAN, CHIEN TE, 謝進益 HSIEH,CHIN-YI",40,88.95,4.34
11110E 100101,工程導論,Introduction to Engineering 	,"葉安洲 YEH, AN-CHOU, 衛子健 WEI, TZU-CHIEN, 工學院 ",工學院,指導教授,材料
化工 不同主題,分別進行,	25   			83.52 	7.20,"11110E 100102 	工程導論 Introduction to Engineering 	, 衛子健 WEI, TZU-CHIEN, 葉安洲 YEH, AN-CHOU, 工學院 ",工學院,指導教授,材料
化工 不同主題,分別進行,	25   			81.80 	8.01,"11110E 100103 	工程導論 Introduction to Engineering 	, 葉安洲 YEH, AN-CHOU, 王訓忠 WONG, SHWIN-CHUNG, 工學院 ",工學院,指導教授,材料
動機 不同主題,分別進行,	25   			80.92 	9.83,"11110E 100104 	工程導論 Introduction to Engineering 	, 王訓忠 WONG, SHWIN-CHUNG, 葉安洲 YEH, AN-CHOU, 工學院 ",工學院,指導教授,材料
動機 不同主題,分別進行,	25   			82.96 	6.53,"11110E 100105 	工程導論 Introduction to Engineering 	, 葉安洲 YEH, AN-CHOU, 洪一峯 HUNG, YI-FENG, 工學院 ",工學院,指導教授,材料
